x_fit,y_fit
9,-1267.14682488781
8.994994994995,-1267.14682488775
8.98998998998999,-1267.14682488768
8.98498498498499,-1267.14682488761
8.97997997997998,-1267.14682488753
8.97497497497498,-1267.14682488745
8.96996996996997,-1267.14682488737
8.96496496496497,-1267.14682488728
8.95995995995996,-1267.14682488719
8.95495495495496,-1267.14682488709
8.94994994994995,-1267.14682488699
8.94494494494495,-1267.14682488688
8.93993993993994,-1267.14682488677
8.93493493493494,-1267.14682488665
8.92992992992993,-1267.14682488652
8.92492492492493,-1267.14682488639
8.91991991991992,-1267.14682488625
8.91491491491492,-1267.1468248861
8.90990990990991,-1267.14682488594
8.90490490490491,-1267.14682488578
8.8998998998999,-1267.14682488561
8.8948948948949,-1267.14682488542
8.88988988988989,-1267.14682488523
8.88488488488489,-1267.14682488503
8.87987987987988,-1267.14682488481
8.87487487487488,-1267.14682488459
8.86986986986987,-1267.14682488435
8.86486486486487,-1267.1468248841
8.85985985985986,-1267.14682488384
8.85485485485486,-1267.14682488356
8.84984984984985,-1267.14682488327
8.84484484484485,-1267.14682488296
8.83983983983984,-1267.14682488263
8.83483483483484,-1267.14682488229
8.82982982982983,-1267.14682488193
8.82482482482483,-1267.14682488155
8.81981981981982,-1267.14682488115
8.81481481481482,-1267.14682488072
8.80980980980981,-1267.14682488028
8.80480480480481,-1267.14682487981
8.7997997997998,-1267.14682487931
8.7947947947948,-1267.14682487879
8.78978978978979,-1267.14682487824
8.78478478478479,-1267.14682487766
8.77977977977978,-1267.14682487705
8.77477477477478,-1267.14682487641
8.76976976976977,-1267.14682487573
8.76476476476477,-1267.14682487502
8.75975975975976,-1267.14682487426
8.75475475475476,-1267.14682487347
8.74974974974975,-1267.14682487263
8.74474474474475,-1267.14682487175
8.73973973973974,-1267.14682487082
8.73473473473474,-1267.14682486984
8.72972972972973,-1267.14682486881
8.72472472472473,-1267.14682486773
8.71971971971972,-1267.14682486658
8.71471471471472,-1267.14682486537
8.70970970970971,-1267.1468248641
8.70470470470471,-1267.14682486276
8.6996996996997,-1267.14682486135
8.6946946946947,-1267.14682485986
8.68968968968969,-1267.14682485829
8.68468468468469,-1267.14682485664
8.67967967967968,-1267.14682485489
8.67467467467468,-1267.14682485306
8.66966966966967,-1267.14682485112
8.66466466466467,-1267.14682484908
8.65965965965966,-1267.14682484693
8.65465465465466,-1267.14682484467
8.64964964964965,-1267.14682484228
8.64464464464465,-1267.14682483976
8.63963963963964,-1267.14682483711
8.63463463463464,-1267.14682483432
8.62962962962963,-1267.14682483137
8.62462462462463,-1267.14682482827
8.61961961961962,-1267.146824825
8.61461461461462,-1267.14682482155
8.60960960960961,-1267.14682481792
8.60460460460461,-1267.14682481409
8.5995995995996,-1267.14682481006
8.5945945945946,-1267.14682480581
8.58958958958959,-1267.14682480133
8.58458458458459,-1267.14682479661
8.57957957957958,-1267.14682479163
8.57457457457458,-1267.14682478639
8.56956956956957,-1267.14682478086
8.56456456456457,-1267.14682477504
8.55955955955956,-1267.1468247689
8.55455455455456,-1267.14682476244
8.54954954954955,-1267.14682475562
8.54454454454455,-1267.14682474844
8.53953953953954,-1267.14682474087
8.53453453453454,-1267.14682473289
8.52952952952953,-1267.14682472449
8.52452452452453,-1267.14682471563
8.51951951951952,-1267.14682470629
8.51451451451452,-1267.14682469645
8.50950950950951,-1267.14682468608
8.50450450450451,-1267.14682467515
8.4994994994995,-1267.14682466364
8.4944944944945,-1267.1468246515
8.48948948948949,-1267.14682463871
8.48448448448449,-1267.14682462524
8.47947947947948,-1267.14682461103
8.47447447447448,-1267.14682459606
8.46946946946947,-1267.14682458029
8.46446446446447,-1267.14682456366
8.45945945945946,-1267.14682454614
8.45445445445446,-1267.14682452768
8.44944944944945,-1267.14682450822
8.44444444444445,-1267.14682448772
8.43943943943944,-1267.14682446611
8.43443443443444,-1267.14682444334
8.42942942942943,-1267.14682441934
8.42442442442443,-1267.14682439404
8.41941941941942,-1267.14682436739
8.41441441441442,-1267.1468243393
8.40940940940941,-1267.1468243097
8.40440440440441,-1267.1468242785
8.3993993993994,-1267.14682424563
8.3943943943944,-1267.14682421098
8.38938938938939,-1267.14682417447
8.38438438438439,-1267.14682413599
8.37937937937938,-1267.14682409544
8.37437437437438,-1267.1468240527
8.36936936936937,-1267.14682400767
8.36436436436437,-1267.14682396021
8.35935935935936,-1267.14682391019
8.35435435435436,-1267.14682385748
8.34934934934935,-1267.14682380193
8.34434434434435,-1267.14682374339
8.33933933933934,-1267.1468236817
8.33433433433434,-1267.14682361669
8.32932932932933,-1267.14682354817
8.32432432432433,-1267.14682347596
8.31931931931932,-1267.14682339987
8.31431431431432,-1267.14682331968
8.30930930930931,-1267.14682323517
8.30430430430431,-1267.14682314611
8.2992992992993,-1267.14682305225
8.2942942942943,-1267.14682295334
8.28928928928929,-1267.1468228491
8.28428428428429,-1267.14682273925
8.27927927927928,-1267.14682262348
8.27427427427428,-1267.14682250148
8.26926926926927,-1267.14682237291
8.26426426426427,-1267.14682223741
8.25925925925926,-1267.14682209462
8.25425425425426,-1267.14682194414
8.24924924924925,-1267.14682178556
8.24424424424425,-1267.14682161843
8.23923923923924,-1267.14682144231
8.23423423423424,-1267.1468212567
8.22922922922923,-1267.14682106109
8.22422422422422,-1267.14682085496
8.21921921921922,-1267.14682063772
8.21421421421421,-1267.14682040878
8.20920920920921,-1267.14682016751
8.2042042042042,-1267.14681991325
8.1991991991992,-1267.1468196453
8.19419419419419,-1267.14681936292
8.18918918918919,-1267.14681906534
8.18418418418418,-1267.14681875172
8.17917917917918,-1267.14681842122
8.17417417417417,-1267.14681807292
8.16916916916917,-1267.14681770587
8.16416416416416,-1267.14681731905
8.15915915915916,-1267.14681691139
8.15415415415415,-1267.14681648179
8.14914914914915,-1267.14681602905
8.14414414414414,-1267.14681555193
8.13913913913914,-1267.14681504911
8.13413413413413,-1267.14681451922
8.12912912912913,-1267.14681396079
8.12412412412412,-1267.1468133723
8.11911911911912,-1267.1468127521
8.11411411411411,-1267.14681209852
8.10910910910911,-1267.14681140973
8.1041041041041,-1267.14681068385
8.0990990990991,-1267.14680991889
8.09409409409409,-1267.14680911272
8.08908908908909,-1267.14680826315
8.08408408408408,-1267.14680736782
8.07907907907908,-1267.14680642428
8.07407407407407,-1267.14680542993
8.06906906906907,-1267.14680438203
8.06406406406406,-1267.1468032777
8.05905905905906,-1267.1468021139
8.05405405405405,-1267.14680088743
8.04904904904905,-1267.14679959491
8.04404404404404,-1267.14679823279
8.03903903903904,-1267.14679679732
8.03403403403403,-1267.14679528454
8.02902902902903,-1267.1467936903
8.02402402402402,-1267.1467920102
8.01901901901902,-1267.14679023963
8.01401401401401,-1267.14678837372
8.00900900900901,-1267.14678640732
8.004004004004,-1267.14678433502
7.998998998999,-1267.14678215113
7.99399399399399,-1267.14677984964
7.98898898898899,-1267.14677742421
7.98398398398398,-1267.14677486816
7.97897897897898,-1267.14677217447
7.97397397397397,-1267.14676933571
7.96896896896897,-1267.14676634409
7.96396396396396,-1267.14676319136
7.95895895895896,-1267.14675986886
7.95395395395395,-1267.14675636743
7.94894894894895,-1267.14675267745
7.94394394394394,-1267.14674878875
7.93893893893894,-1267.14674469064
7.93393393393393,-1267.14674037185
7.92892892892893,-1267.14673582048
7.92392392392392,-1267.14673102401
7.91891891891892,-1267.14672596925
7.91391391391391,-1267.14672064228
7.90890890890891,-1267.14671502845
7.9039039039039,-1267.1467091123
7.8988988988989,-1267.14670287756
7.89389389389389,-1267.14669630707
7.88888888888889,-1267.14668938275
7.88388388388388,-1267.14668208555
7.87887887887888,-1267.14667439538
7.87387387387387,-1267.14666629108
7.86886886886887,-1267.14665775036
7.86386386386386,-1267.1466487497
7.85885885885886,-1267.14663926435
7.85385385385385,-1267.1466292682
7.84884884884885,-1267.14661873374
7.84384384384384,-1267.14660763199
7.83883883883884,-1267.14659593239
7.83383383383383,-1267.14658360275
7.82882882882883,-1267.14657060914
7.82382382382382,-1267.14655691581
7.81881881881882,-1267.14654248507
7.81381381381381,-1267.14652727722
7.80880880880881,-1267.1465112504
7.8038038038038,-1267.14649436051
7.7987987987988,-1267.14647656109
7.79379379379379,-1267.14645780313
7.78878878878879,-1267.14643803503
7.78378378378378,-1267.1464172024
7.77877877877878,-1267.14639524789
7.77377377377377,-1267.14637211111
7.76876876876877,-1267.14634772837
7.76376376376376,-1267.1463220326
7.75875875875876,-1267.14629495306
7.75375375375375,-1267.14626641526
7.74874874874875,-1267.14623634065
7.74374374374374,-1267.14620464648
7.73873873873874,-1267.14617124554
7.73373373373373,-1267.14613604591
7.72872872872873,-1267.14609895073
7.72372372372372,-1267.14605985792
7.71871871871872,-1267.14601865991
7.71371371371371,-1267.14597524332
7.70870870870871,-1267.14592948869
7.7037037037037,-1267.14588127011
7.6986986986987,-1267.14583045489
7.69369369369369,-1267.1457769032
7.68868868868869,-1267.14572046767
7.68368368368368,-1267.14566099301
7.67867867867868,-1267.14559831556
7.67367367367367,-1267.14553226283
7.66866866866867,-1267.14546265307
7.66366366366366,-1267.14538929473
7.65865865865866,-1267.14531198593
7.65365365365365,-1267.14523051395
7.64864864864865,-1267.14514465459
7.64364364364364,-1267.14505417157
7.63863863863864,-1267.14495881592
7.63363363363363,-1267.14485832523
7.62862862862863,-1267.14475242297
7.62362362362362,-1267.14464081772
7.61861861861862,-1267.14452320238
7.61361361361361,-1267.14439925328
7.60860860860861,-1267.14426862934
7.6036036036036,-1267.14413097112
7.5985985985986,-1267.14398589981
7.59359359359359,-1267.14383301621
7.58858858858859,-1267.1436718996
7.58358358358358,-1267.14350210663
7.57857857857858,-1267.14332317008
7.57357357357357,-1267.14313459753
7.56856856856857,-1267.14293587009
7.56356356356356,-1267.14272644089
7.55855855855856,-1267.14250573363
7.55355355355355,-1267.14227314097
