id,pCa,ktr,sd_ktr
sample_1,4.5,8.82198928752631,0.320867468942521
sample_1,5.2,3.74531439625958,0.67859477092131
sample_1,5.4,3.9792012592115,1.68025928443379
sample_1,5.6,11.5481879388496,14.7358758267619
sample_1,5.7,9.07248138392755,10.5284483072105
sample_1,5.8,12.512167823973,10.4948918348866
sample_1,5.9,13.6783336436335,10.0218587631131
sample_1,6,6.04390924916599,5.19609864020917
sample_1,6.1,35.2429190914734,68.0642437237666
sample_1,6.2,7.19504910930891,5.50893276404671
sample_1,9,1.6543399151461,1.22068543708269
sample_10,4.5,3.47831438730248,0.0225065651200269
sample_10,5.2,3.48733346929259,0.0291650666490481
sample_10,5.4,3.52562799640257,0.0326427789078683
sample_10,5.6,3.54143421023077,0.0277720178799814
sample_10,5.7,3.55172312078317,0.0320410043108411
sample_10,5.8,3.57961760146052,0.035758699157937
sample_10,5.9,3.55050115969663,0.0201227613442262
sample_10,6,3.52166881531457,0.032758720690627
sample_10,6.1,3.4115436052059,0.027029875878651
sample_10,6.2,3.25125493391912,0.0535142980454679
sample_10,9,2.21005915273035e-05,2.23304279986114e-05
sample_11,4.5,24.331670156419,1.96373549647248
sample_11,5.2,19.6850197356097,0.925408251972886
sample_11,5.4,10.1764529033254,0.55460020846199
sample_11,5.6,7.12558213894342,1.65160388811824
sample_11,5.7,18.3013627278121,6.48919160424815
sample_11,5.8,24.288293405786,6.32244970155244
sample_11,5.9,42.9512234923583,16.528038488526
sample_11,6,48.7953075176726,42.9641632528191
sample_11,6.1,42.809830721878,34.7405301461202
sample_11,6.2,22.2397980020426,32.8203703569113
sample_11,9,1.7373046321647,1.74093918207894
sample_12,4.5,74.2637796048808,3.72159557615221
sample_12,5.2,49.3867047399035,11.8436436359815
sample_12,5.4,24.282404694528,36.5107130516986
sample_12,5.6,10.6171612112217,8.38359094807144
sample_12,5.7,22.5800278935947,13.8661736510984
sample_12,5.8,10.8111743226006,13.2687321157448
sample_12,5.9,68.814458164543,87.1137202387165
sample_12,6,8.52782875218059,13.2002224326103
sample_12,6.1,6.37354602226767,8.82843791151974
sample_12,6.2,1.23928727013234,1.76876933169176
sample_12,9,1.85512738282225,1.7220609183568
sample_13,4.5,10.7655686540708,0.201517837981166
sample_13,5.2,9.53874976284937,0.135010987199682
sample_13,5.4,7.9432587405067,0.169631672957214
sample_13,5.6,5.86795213373621,0.144364140222161
sample_13,5.7,4.98404935490887,0.112326467887721
sample_13,5.8,4.10944172151993,0.0550603642212254
sample_13,5.9,3.45875425658041,0.0670200001959577
sample_13,6,2.79107551078882,0.0537485755923752
sample_13,6.1,2.28114677403751,0.0360773260030294
